direcao,nota_media
Anthony Barnao,4.3
Anthony Bawn,9.3
Anthony Bell,3.1
Anthony Burns,5.550000000000001
Anthony C. Ferrante,4.35
Anthony Caldarella,5.300000000000001
Anthony Carras,3.8
Anthony Dalesandro,5.8
Anthony Daniel,4.1
Anthony DiBlasi,5.26
Anthony Drazan,6.2
Anthony Edwards,4.6
Anthony Fabian,6.0
Anthony Fankhauser,2.45
"Anthony Farrar, Joseph W. Sarno",4.5
Anthony G. Cohen,4.1
Anthony G. Sumner,3.7
"Anthony Gaudioso, James Gaudioso",4.6
Anthony Harvey,5.566666666666666
Anthony Hemingway,5.9
Anthony Henslee,4.0
Anthony Hickox,5.4
Anthony Hopkins,4.9
Anthony Hornus,5.1
"Anthony Hornus, Jeff Kennedy",4.0
Anthony Indelicato,3.6
Anthony J. Caruso,5.1
Anthony J. Christopher,3.5
Anthony J. Rickert-Epstein,4.4
Anthony Jerjen,5.1
Anthony Joseph Giunta,5.5
Anthony Lefresne,5.0
Anthony Leonardi III,4.4
Anthony Lover,5.5
Anthony Lucero,7.1
Anthony M. Lanza,4.35
Anthony Mandler,5.0
Anthony Mann,6.816129032258065
"Anthony Mann, Charles Walters",6.4
Anthony Meindl,4.7
Anthony Michael Hall,3.2
Anthony Minghella,6.65
Anthony Newley,5.7
Anthony O'Brien,5.0
Anthony Page,6.4
Anthony Perkins,5.0
Anthony Pierce,6.35
Anthony Quinn,6.5
"Anthony Russo, Joe Russo",7.58
Anthony Spadaccini,4.1000000000000005
Anthony Stabley,6.6
Anthony Steven Giordano,4.8
Anthony Tarsitano,4.6
Antoine Fuqua,6.85
Antoine Le,4.3
Anton Holden,5.15
Anton King,5.7
"Anton Leader, Ranald MacDougall",6.2
Antoni Stutz,5.25
Antonia Bird,5.4
Antonia Bogdanovich,5.2
Antonijs Prizevoits,2.4
Antonio Campos,5.699999999999999
Antonio James,4.9
"Antonio Lexerot, Vincent J. Roth",5.1
Antonio Negret,5.7
Antonio Pantoja,4.6
Antonio Tibaldi,5.449999999999999
Antony Alda,5.4
Antwan Smith,3.3
Anurag Mehta,6.3
Ara Paiaya,2.3
Aram Avakian,6.449999999999999
Aram Rappaport,4.95
Arch Hall Sr.,2.2
Arch Hudson,4.1
Arch Oboler,5.74
"Arch Oboler, Robert Clampett",4.9
Archibald Flancranstin,4.5
